tijd,Cadence (RPM),Heart Rate (BPM),Speed (km/h),Power (W),Pedal Pressure (N)
0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0
25,0.0,33.6,0.0,0.0,0.0
30,0.0,83.2,0.0,0.0,0.0
35,0.0,83.0,0.0,0.0,0.0
40,0.0,81.8,0.0,0.0,0.0
45,0.0,80.6,0.0,0.0,0.0
50,0.0,78.8,0.0,0.0,0.0
55,0.0,77.0,0.0,0.0,0.0
60,0.0,76.0,0.0,0.0,0.0
65,0.0,77.2,0.0,0.0,0.0
70,0.0,79.4,0.0,0.0,0.0
75,0.0,80.6,0.0,0.0,0.0
80,0.0,80.0,0.0,0.0,0.0
85,0.0,79.2,0.0,0.0,0.0
90,0.0,77.6,0.0,0.0,0.0
95,0.0,76.4,0.0,0.0,0.0
100,0.0,76.0,0.0,0.0,0.0
105,0.0,76.0,0.0,0.0,0.0
110,0.0,76.0,0.0,0.0,0.0
115,0.0,75.2,0.0,0.0,0.0
120,0.0,73.8,0.0,0.0,0.0
125,0.0,73.0,0.0,0.0,0.0
130,0.0,72.0,0.0,0.0,0.0
135,0.0,72.0,0.0,0.0,0.0
140,0.0,73.0,0.0,0.0,0.0
145,0.0,73.0,0.0,0.0,0.0
150,0.0,74.0,0.0,0.0,0.0
155,0.0,74.6,0.0,0.0,0.0
160,0.0,75.0,0.0,0.0,0.0
165,43.7,76.0,26.3,52.9,51.3
170,69.5,77.0,41.8,100.0,80.8
175,73.2,78.0,44.0,100.0,76.8
180,79.4,81.0,47.8,100.0,70.8
185,82.1,87.0,49.4,100.0,68.4
190,82.3,94.4,49.5,100.0,68.2
195,82.0,100.0,49.3,112.0,76.8
200,80.9,106.2,48.6,120.0,83.3
205,82.0,113.0,49.3,120.0,82.2
210,82.2,117.2,49.5,120.0,82.0
215,81.9,119.2,49.2,120.0,82.3
220,82.5,120.0,49.6,120.0,81.7
225,81.4,121.0,49.0,132.0,91.2
230,80.7,121.2,48.5,140.0,97.5
235,82.6,122.0,49.7,140.0,95.2
240,82.4,123.0,49.5,140.0,95.5
245,82.1,124.4,49.3,140.0,95.8
250,83.0,126.8,49.9,140.0,94.7
255,81.4,129.4,49.0,152.0,104.9
260,83.1,131.0,50.0,160.0,108.1
265,83.3,132.4,50.1,160.0,107.9
270,83.8,133.2,50.4,160.0,107.3
275,84.4,134.0,50.8,160.0,106.5
280,85.5,135.2,51.4,160.0,105.1
285,85.0,136.0,51.1,168.0,111.1
290,83.3,136.8,50.1,180.0,121.3
295,84.8,137.6,51.0,180.0,119.3
300,84.0,139.0,50.5,180.0,120.3
305,82.6,140.6,49.6,180.0,122.5
310,85.6,141.8,51.5,180.0,118.1
315,82.8,142.8,49.8,192.0,130.3
320,81.9,143.2,49.2,200.0,137.2
325,83.7,144.0,50.3,200.0,134.3
330,83.3,144.0,50.1,200.0,134.8
335,84.2,144.6,50.7,200.0,133.4
340,84.6,146.2,50.9,200.0,132.7
345,82.9,147.2,49.8,212.0,143.8
350,82.5,148.0,49.6,220.0,149.7
355,83.6,149.0,50.2,220.0,147.9
360,82.8,149.0,49.8,220.0,149.3
365,83.9,149.4,50.4,220.0,147.4
370,84.9,150.6,51.0,220.0,145.6
375,83.8,152.4,50.4,232.0,155.6
380,82.4,153.6,49.5,240.0,163.7
385,83.6,154.0,50.3,240.0,161.4
390,85.2,154.0,51.2,240.0,158.3
395,84.5,154.2,50.8,240.0,159.5
400,83.0,155.0,49.9,240.0,162.4
405,86.9,155.4,52.2,240.0,155.2
410,85.5,156.2,51.4,248.0,162.9
415,85.8,157.6,51.6,260.0,170.2
420,84.6,159.0,50.9,260.0,172.6
425,83.4,160.2,50.1,260.0,175.2
430,85.5,161.0,51.4,260.0,170.8
435,84.7,162.0,50.9,260.0,172.5
440,82.2,162.0,49.4,272.0,185.8
445,81.7,163.0,49.1,280.0,192.5
450,80.9,163.4,48.7,280.0,194.4
455,79.7,164.0,47.9,280.0,197.3
460,77.0,164.6,46.3,280.0,204.2
465,75.7,165.6,45.5,280.0,207.9
470,74.7,167.0,44.9,292.0,219.5
475,73.9,167.0,44.4,300.0,228.1
480,72.3,167.2,43.4,300.0,233.2
485,72.4,168.2,43.5,300.0,232.8
490,72.4,169.4,43.6,300.0,232.7
495,69.0,170.0,41.5,300.0,244.4
500,48.4,171.0,29.1,218.8,233.6
505,5.8,171.2,3.5,8.1,40.0
510,0.0,170.0,0.0,0.0,0.0
515,28.8,166.2,17.3,57.8,89.3
520,47.2,160.8,28.4,50.0,60.1
525,54.3,156.0,32.7,50.0,51.7
530,58.7,152.0,35.3,50.0,47.9
535,61.5,149.6,37.0,50.0,45.7